"","infinitive","forms"
"330","formar","formo;formas;forma;formamos;formáis;forman;formando;formado;formaré;formarás;formará;formaremos;formaréis;formarán;formaba;formabas;formábamos;formabais;formaban;formé;formaste;formó;formasteis;formaron;formaría;formarías;formaríamos;formaríais;formarían;forme;formes;formemos;forméis;formen;formara;formaras;formáramos;formarais;formaran;formare;formares;formáremos;formareis;formaren;;formad"
"331","fortalecer","fortalezco;fortaleces;fortalece;fortalecemos;fortalecéis;fortalecen;fortaleciendo;fortalecido;fortaleceré;fortalecerás;fortalecerá;fortaleceremos;fortaleceréis;fortalecerán;fortalecía;fortalecías;fortalecíamos;fortalecíais;fortalecían;fortalecí;fortaleciste;fortaleció;fortalecimos;fortalecisteis;fortalecieron;fortalecería;fortalecerías;fortaleceríamos;fortaleceríais;fortalecerían;fortalezca;fortalezcas;fortalezcamos;fortalezcáis;fortalezcan;fortaleciera;fortalecieras;fortaleciéramos;fortalecierais;fortalecieran;fortaleciere;fortalecieres;fortaleciéremos;fortaleciereis;fortalecieren;;fortaleced"
"332","freír","frío;fríes;fríe;freímos;freís;fríen;friendo;frito;freiré;freirás;freirá;freiremos;freiréis;freirán;freía;freías;freíamos;freíais;freían;freí;freíste;frió;freísteis;frieron;freiría;freirías;freiríamos;freiríais;freirían;fría;frías;friamos;friáis;frían;friera;frieras;friéramos;frierais;frieran;friere;frieres;friéremos;friereis;frieren;;freíd"
"333","fumar","fumo;fumas;fuma;fumamos;fumáis;fuman;fumando;fumado;fumaré;fumarás;fumará;fumaremos;fumaréis;fumarán;fumaba;fumabas;fumábamos;fumabais;fumaban;fumé;fumaste;fumó;fumasteis;fumaron;fumaría;fumarías;fumaríamos;fumaríais;fumarían;fume;fumes;fumemos;fuméis;fumen;fumara;fumaras;fumáramos;fumarais;fumaran;fumare;fumares;fumáremos;fumareis;fumaren;;fumad"
"334","funcionar","funciono;funcionas;funciona;funcionamos;funcionáis;funcionan;funcionando;funcionado;funcionaré;funcionarás;funcionará;funcionaremos;funcionaréis;funcionarán;funcionaba;funcionabas;funcionábamos;funcionabais;funcionaban;funcioné;funcionaste;funcionó;funcionasteis;funcionaron;funcionaría;funcionarías;funcionaríamos;funcionaríais;funcionarían;funcione;funciones;funcionemos;funcionéis;funcionen;funcionara;funcionaras;funcionáramos;funcionarais;funcionaran;funcionare;funcionares;funcionáremos;funcionareis;funcionaren;;funcionad"
"335","ganar","gano;ganas;gana;ganamos;ganáis;ganan;ganando;ganado;ganaré;ganarás;ganará;ganaremos;ganaréis;ganarán;ganaba;ganabas;ganábamos;ganabais;ganaban;gané;ganaste;ganó;ganasteis;ganaron;ganaría;ganarías;ganaríamos;ganaríais;ganarían;gane;ganes;ganemos;ganéis;ganen;ganara;ganaras;ganáramos;ganarais;ganaran;ganare;ganares;ganáremos;ganareis;ganaren;;ganad"
"336","gastar","gasto;gastas;gasta;gastamos;gastáis;gastan;gastando;gastado;gastaré;gastarás;gastará;gastaremos;gastaréis;gastarán;gastaba;gastabas;gastábamos;gastabais;gastaban;gasté;gastaste;gastó;gastasteis;gastaron;gastaría;gastarías;gastaríamos;gastaríais;gastarían;gaste;gastes;gastemos;gastéis;gasten;gastara;gastaras;gastáramos;gastarais;gastaran;gastare;gastares;gastáremos;gastareis;gastaren;;gastad"
"337","generalizar","generalizo;generalizas;generaliza;generalizamos;generalizáis;generalizan;generalizando;generalizado;generalizaré;generalizarás;generalizará;generalizaremos;generalizaréis;generalizarán;generalizaba;generalizabas;generalizábamos;generalizabais;generalizaban;generalicé;generalizaste;generalizó;generalizasteis;generalizaron;generalizaría;generalizarías;generalizaríamos;generalizaríais;generalizarían;generalice;generalices;generalicemos;generalicéis;generalicen;generalizara;generalizaras;generalizáramos;generalizarais;generalizaran;generalizare;generalizares;generalizáremos;generalizareis;generalizaren;;generalizad"
"338","glorificar","glorifico;glorificas;glorifica;glorificamos;glorificáis;glorifican;glorificando;glorificado;glorificaré;glorificarás;glorificará;glorificaremos;glorificaréis;glorificarán;glorificaba;glorificabas;glorificábamos;glorificabais;glorificaban;glorifiqué;glorificaste;glorificó;glorificasteis;glorificaron;glorificaría;glorificarías;glorificaríamos;glorificaríais;glorificarían;glorifique;glorifiques;glorifiquemos;glorifiquéis;glorifiquen;glorificara;glorificaras;glorificáramos;glorificarais;glorificaran;glorificare;glorificares;glorificáremos;glorificareis;glorificaren;;glorificad"
"339","gobernar","gobierno;gobiernas;gobierna;gobernamos;gobernáis;gobiernan;gobernando;gobernado;gobernaré;gobernarás;gobernará;gobernaremos;gobernaréis;gobernarán;gobernaba;gobernabas;gobernábamos;gobernabais;gobernaban;goberné;gobernaste;gobernó;gobernasteis;gobernaron;gobernaría;gobernarías;gobernaríamos;gobernaríais;gobernarían;gobierne;gobiernes;gobernemos;gobernéis;gobiernen;gobernara;gobernaras;gobernáramos;gobernarais;gobernaran;gobernare;gobernares;gobernáremos;gobernareis;gobernaren;;gobernad"
"340","graduar","gradúo;gradúas;gradúa;graduamos;graduáis;gradúan;graduando;graduado;graduaré;graduarás;graduará;graduaremos;graduaréis;graduarán;graduaba;graduabas;graduábamos;graduabais;graduaban;gradué;graduaste;graduó;graduasteis;graduaron;graduaría;graduarías;graduaríamos;graduaríais;graduarían;gradúe;gradúes;graduemos;graduéis;gradúen;graduara;graduaras;graduáramos;graduarais;graduaran;graduare;graduares;graduáremos;graduareis;graduaren;;graduad"
"341","graduarse",";gradúate;graduaos;gradúese;gradúense;graduándose;graduado"
"342","gritar","gritare;gritares;gritáremos;gritareis;gritaren;gritando;gritado;grito;gritas;grita;gritamos;gritáis;gritan;gritaré;gritarás;gritará;gritaremos;gritaréis;gritarán;gritaba;gritabas;gritábamos;gritabais;gritaban;grité;gritaste;gritó;gritasteis;gritaron;gritaría;gritarías;gritaríamos;gritaríais;gritarían;grite;grites;gritemos;gritéis;griten;gritara;gritaras;gritáramos;gritarais;gritaran;;gritad"
"343","gruñir","gruño;gruñes;gruñe;gruñimos;gruñís;gruñen;gruñendo;gruñido;gruñiré;gruñirás;gruñirá;gruñiremos;gruñiréis;gruñirán;gruñía;gruñías;gruñíamos;gruñíais;gruñían;gruñí;gruñiste;gruñó;gruñisteis;gruñeron;gruñiría;gruñirías;gruñiríamos;gruñiríais;gruñirían;gruña;gruñas;gruñamos;gruñáis;gruñan;gruñera;gruñeras;gruñéramos;gruñerais;gruñeran;gruñere;gruñeres;gruñéremos;gruñereis;gruñeren;;gruñed"
"344","guardar","guardo;guardas;guarda;guardamos;guardáis;guardan;guardando;guardado;guardaré;guardarás;guardará;guardaremos;guardaréis;guardarán;guardaba;guardabas;guardábamos;guardabais;guardaban;guardé;guardaste;guardó;guardasteis;guardaron;guardaría;guardarías;guardaríamos;guardaríais;guardarían;guarde;guardes;guardemos;guardéis;guarden;guardara;guardaras;guardáramos;guardarais;guardaran;guardare;guardares;guardáremos;guardareis;guardaren;;guardad"
"345","guiar","guío;guías;guía;guiamos;guiáis;guían;guiando;guiado;guiaré;guiarás;guiará;guiaremos;guiaréis;guiarán;guiaba;guiabas;guiábamos;guiabais;guiaban;guie;guiaste;guio;guiasteis;guiaron;guiaría;guiarías;guiaríamos;guiaríais;guiarían;guíe;guíes;guiemos;guiéis;guíen;guiara;guiaras;guiáramos;guiarais;guiaran;guiare;guiares;guiáremos;guiareis;guiaren;;guiad"
"346","gustar","gusto;gustas;gusta;gustamos;gustáis;gustan;gustando;gustado;gustaré;gustarás;gustará;gustaremos;gustaréis;gustarán;gustaba;gustabas;gustábamos;gustabais;gustaban;gusté;gustaste;gustó;gustasteis;gustaron;gustaría;gustarías;gustaríamos;gustaríais;gustarían;guste;gustes;gustemos;gustéis;gusten;gustara;gustaras;gustáramos;gustarais;gustaran;gustare;gustares;gustáremos;gustareis;gustaren;;gustad"
"347","hablar","hablo;hablas;habla;hablamos;habláis;hablan;hablando;hablado;hablaré;hablarás;hablará;hablaremos;hablaréis;hablarán;hablaba;hablabas;hablábamos;hablabais;hablaban;hablé;hablaste;habló;hablasteis;hablaron;hablaría;hablarías;hablaríamos;hablaríais;hablarían;hable;hables;hablemos;habléis;hablen;hablara;hablaras;habláramos;hablarais;hablaran;hablare;hablares;habláremos;hablareis;hablaren;;hablad"
"348","hacer","hago;haces;hace;hacemos;hacéis;hacen;haciendo;hecho;haré;harás;hará;haremos;haréis;harán;hacía;hacías;hacíamos;hacíais;hacían;hice;hiciste;hizo;hicimos;hicisteis;hicieron;haría;harías;haríamos;haríais;harían;haga;hagas;hagamos;hagáis;hagan;hiciera;hicieras;hiciéramos;hicierais;hicieran;hiciere;hicieres;hiciéremos;hiciereis;hicieren;;haz;haced"
"349","hallar","hallo;hallas;halla;hallamos;halláis;hallan;hallando;hallado;hallaré;hallarás;hallará;hallaremos;hallaréis;hallarán;hallaba;hallabas;hallábamos;hallabais;hallaban;hallé;hallaste;halló;hallasteis;hallaron;hallaría;hallarías;hallaríamos;hallaríais;hallarían;halle;halles;hallemos;halléis;hallen;hallara;hallaras;halláramos;hallarais;hallaran;hallare;hallares;halláremos;hallareis;hallaren;;hallad"
"350","hallarse",";hállate;hallaos;hállese;hállense;hallándose;hallado"
"351","helar","hielo;hielas;hiela;helamos;heláis;hielan;helando;helado;helaré;helarás;helará;helaremos;helaréis;helarán;helaba;helabas;helábamos;helabais;helaban;helé;helaste;heló;helasteis;helaron;helaría;helarías;helaríamos;helaríais;helarían;hiele;hieles;helemos;heléis;hielen;helara;helaras;heláramos;helarais;helaran;helare;helares;heláremos;helareis;helaren;;helad"
"352","heredar","heredo;heredas;hereda;heredamos;heredáis;heredan;heredando;heredado;heredaré;heredarás;heredará;heredaremos;heredaréis;heredarán;heredaba;heredabas;heredábamos;heredabais;heredaban;heredé;heredaste;heredó;heredasteis;heredaron;heredaría;heredarías;heredaríamos;heredaríais;heredarían;herede;heredes;heredemos;heredéis;hereden;heredara;heredaras;heredáramos;heredarais;heredaran;heredare;heredares;heredáremos;heredareis;heredaren;;heredad"
"353","herir","hiero;hieres;hiere;herimos;herís;hieren;hiriendo;herido;heriré;herirás;herirá;heriremos;heriréis;herirán;hería;herías;heríamos;heríais;herían;herí;heriste;hirió;heristeis;hirieron;heriría;herirías;heriríamos;heriríais;herirían;hiera;hieras;hiramos;hiráis;hieran;hiriera;hirieras;hiriéramos;hirierais;hirieran;hiriere;hirieres;hiriéremos;hiriereis;hirieren;;herid"
"354","hervir","hiervo;hierves;hierve;hervimos;hervís;hierven;hirviendo;hervido;herviré;hervirás;hervirá;herviremos;herviréis;hervirán;hervía;hervías;hervíamos;hervíais;hervían;herví;herviste;hirvió;hervisteis;hirvieron;herviría;hervirías;herviríamos;herviríais;hervirían;hierva;hiervas;hirvamos;hirváis;hiervan;hirviera;hirvieras;hirviéramos;hirvierais;hirvieran;hirviere;hirvieres;hirviéremos;hirviereis;hirvieren;;hervid"
"355","huir","huyo;huyes;huye;huimos;huís;huyen;huyendo;huido;huiré;huirás;huirá;huiremos;huiréis;huirán;huía;huías;huíamos;huíais;huían;huí;huiste;huyó;huisteis;huyeron;huiría;huirías;huiríamos;huiríais;huirían;huya;huyas;huyamos;huyáis;huyan;huyera;huyeras;huyéramos;huyerais;huyeran;huyere;huyeres;huyéremos;huyereis;huyeren;;huid"
"356","ilustrar","ilustro;ilustras;ilustra;ilustramos;ilustráis;ilustran;ilustrando;ilustrado;ilustraré;ilustrarás;ilustrará;ilustraremos;ilustraréis;ilustrarán;ilustraba;ilustrabas;ilustrábamos;ilustrabais;ilustraban;ilustré;ilustraste;ilustró;ilustrasteis;ilustraron;ilustraría;ilustrarías;ilustraríamos;ilustraríais;ilustrarían;ilustre;ilustres;ilustremos;ilustréis;ilustren;ilustrara;ilustraras;ilustráramos;ilustrarais;ilustraran;ilustrare;ilustrares;ilustráremos;ilustrareis;ilustraren;;ilustrad"
"357","importar","importo;importas;importa;importamos;importáis;importan;importando;importado;importaré;importarás;importará;importaremos;importaréis;importarán;importaba;importabas;importábamos;importabais;importaban;importé;importaste;importó;importasteis;importaron;importaría;importarías;importaríamos;importaríais;importarían;importe;importes;importemos;importéis;importen;importara;importaras;importáramos;importarais;importaran;importare;importares;importáremos;importareis;importaren;;importad"
"358","imprimir","imprimo;imprimes;imprime;imprimimos;imprimís;imprimen;imprimiendo;imprimido, impreso;imprimiré;imprimirás;imprimirá;imprimiremos;imprimiréis;imprimirán;imprimía;imprimías;imprimíamos;imprimíais;imprimían;imprimí;imprimiste;imprimió;imprimisteis;imprimieron;imprimiría;imprimirías;imprimiríamos;imprimiríais;imprimirían;imprima;imprimas;imprimamos;imprimáis;impriman;imprimiera;imprimieras;imprimiéramos;imprimierais;imprimieran;imprimiere;imprimieres;imprimiéremos;imprimiereis;imprimieren;;imprimid"
"359","incluir","incluyo;incluyes;incluye;incluimos;incluís;incluyen;incluyendo;incluido;incluiré;incluirás;incluirá;incluiremos;incluiréis;incluirán;incluía;incluías;incluíamos;incluíais;incluían;incluí;incluiste;incluyó;incluisteis;incluyeron;incluiría;incluirías;incluiríamos;incluiríais;incluirían;incluya;incluyas;incluyamos;incluyáis;incluyan;incluyera;incluyeras;incluyéramos;incluyerais;incluyeran;incluyere;incluyeres;incluyéremos;incluyereis;incluyeren;;incluid"
"360","indicar","indico;indicas;indica;indicamos;indicáis;indican;indicando;indicado;indicaré;indicarás;indicará;indicaremos;indicaréis;indicarán;indicaba;indicabas;indicábamos;indicabais;indicaban;indiqué;indicaste;indicó;indicasteis;indicaron;indicaría;indicarías;indicaríamos;indicaríais;indicarían;indique;indiques;indiquemos;indiquéis;indiquen;indicara;indicaras;indicáramos;indicarais;indicaran;indicare;indicares;indicáremos;indicareis;indicaren;;indicad"
"361","inducir","induzco;induces;induce;inducimos;inducís;inducen;induciendo;inducido;induciré;inducirás;inducirá;induciremos;induciréis;inducirán;inducía;inducías;inducíamos;inducíais;inducían;induje;indujiste;indujo;indujimos;indujisteis;indujeron;induciría;inducirías;induciríamos;induciríais;inducirían;induzca;induzcas;induzcamos;induzcáis;induzcan;indujera;indujeras;indujéramos;indujerais;indujeran;indujere;indujeres;indujéremos;indujereis;indujeren;;inducid"
"362","influir","influyo;influyes;influye;influimos;influís;influyen;influyendo;influido;influiré;influirás;influirá;influiremos;influiréis;influirán;influía;influías;influíamos;influíais;influían;influí;influiste;influyó;influisteis;influyeron;influiría;influirías;influiríamos;influiríais;influirían;influya;influyas;influyamos;influyáis;influyan;influyera;influyeras;influyéramos;influyerais;influyeran;influyere;influyeres;influyéremos;influyereis;influyeren;;influid"
"363","informar","informo;informas;informa;informamos;informáis;informan;informando;informado;informaré;informarás;informará;informaremos;informaréis;informarán;informaba;informabas;informábamos;informabais;informaban;informé;informaste;informó;informasteis;informaron;informaría;informarías;informaríamos;informaríais;informarían;informe;informes;informemos;informéis;informen;informara;informaras;informáramos;informarais;informaran;informare;informares;informáremos;informareis;informaren;;informad"
"364","iniciar","inicio;inicias;inicia;iniciamos;iniciáis;inician;iniciando;iniciado;iniciaré;iniciarás;iniciará;iniciaremos;iniciaréis;iniciarán;iniciaba;iniciabas;iniciábamos;iniciabais;iniciaban;inicié;iniciaste;inició;iniciasteis;iniciaron;iniciaría;iniciarías;iniciaríamos;iniciaríais;iniciarían;inicie;inicies;iniciemos;iniciéis;inicien;iniciara;iniciaras;iniciáramos;iniciarais;iniciaran;iniciare;iniciares;iniciáremos;iniciareis;iniciaren;;iniciad"
"365","inmigrar","inmigro;inmigras;inmigra;inmigramos;inmigráis;inmigran;inmigrando;inmigrado;inmigraré;inmigrarás;inmigrará;inmigraremos;inmigraréis;inmigrarán;inmigraba;inmigrabas;inmigrábamos;inmigrabais;inmigraban;inmigré;inmigraste;inmigró;inmigrasteis;inmigraron;inmigraría;inmigrarías;inmigraríamos;inmigraríais;inmigrarían;inmigre;inmigres;inmigremos;inmigréis;inmigren;inmigrara;inmigraras;inmigráramos;inmigrarais;inmigraran;inmigrare;inmigrares;inmigráremos;inmigrareis;inmigraren;;inmigrad"
"366","insistir","insisto;insistes;insiste;insistimos;insistís;insisten;insistiendo;insistido;insistiré;insistirás;insistirá;insistiremos;insistiréis;insistirán;insistía;insistías;insistíamos;insistíais;insistían;insistí;insististe;insistió;insististeis;insistieron;insistiría;insistirías;insistiríamos;insistiríais;insistirían;insista;insistas;insistamos;insistáis;insistan;insistiera;insistieras;insistiéramos;insistierais;insistieran;insistiere;insistieres;insistiéremos;insistiereis;insistieren;;insistid"
"367","instalar","instalo;instalas;instala;instalamos;instaláis;instalan;instalando;instalado;instalaré;instalarás;instalará;instalaremos;instalaréis;instalarán;instalaba;instalabas;instalábamos;instalabais;instalaban;instalé;instalaste;instaló;instalasteis;instalaron;instalaría;instalarías;instalaríamos;instalaríais;instalarían;instale;instales;instalemos;instaléis;instalen;instalara;instalaras;instaláramos;instalarais;instalaran;instalare;instalares;instaláremos;instalareis;instalaren;;instalad"
"368","insultar","insulté;insultaste;insultó;insultamos;insultasteis;insultaron;insultando;insultado;insulto;insultas;insulta;insultáis;insultan;insultaré;insultarás;insultará;insultaremos;insultaréis;insultarán;insultaba;insultabas;insultábamos;insultabais;insultaban;insultaría;insultarías;insultaríamos;insultaríais;insultarían;insulte;insultes;insultemos;insultéis;insulten;insultara;insultaras;insultáramos;insultarais;insultaran;insultare;insultares;insultáremos;insultareis;insultaren;;insultad"
"369","intentar","intento;intentas;intenta;intentamos;intentáis;intentan;intentando;intentado;intentaré;intentarás;intentará;intentaremos;intentaréis;intentarán;intentaba;intentabas;intentábamos;intentabais;intentaban;intenté;intentaste;intentó;intentasteis;intentaron;intentaría;intentarías;intentaríamos;intentaríais;intentarían;intente;intentes;intentemos;intentéis;intenten;intentara;intentaras;intentáramos;intentarais;intentaran;intentare;intentares;intentáremos;intentareis;intentaren;;intentad"
"370","interesar","intereso;interesas;interesa;interesamos;interesáis;interesan;interesando;interesado;interesaré;interesarás;interesará;interesaremos;interesaréis;interesarán;interesaba;interesabas;interesábamos;interesabais;interesaban;interesé;interesaste;interesó;interesasteis;interesaron;interesaría;interesarías;interesaríamos;interesaríais;interesarían;interese;intereses;interesemos;intereséis;interesen;interesara;interesaras;interesáramos;interesarais;interesaran;interesare;interesares;interesáremos;interesareis;interesaren;;interesad"
"371","interpretar","interpreto;interpretas;interpreta;interpretamos;interpretáis;interpretan;interpretando;interpretado;interpretaré;interpretarás;interpretará;interpretaremos;interpretaréis;interpretarán;interpretaba;interpretabas;interpretábamos;interpretabais;interpretaban;interpreté;interpretaste;interpretó;interpretasteis;interpretaron;interpretaría;interpretarías;interpretaríamos;interpretaríais;interpretarían;interprete;interpretes;interpretemos;interpretéis;interpreten;interpretara;interpretaras;interpretáramos;interpretarais;interpretaran;interpretare;interpretares;interpretáremos;interpretareis;interpretaren;;interpretad"
"372","introducir","introduzco;introduces;introduce;introducimos;introducís;introducen;introduciendo;introducido;introduciré;introducirás;introducirá;introduciremos;introduciréis;introducirán;introducía;introducías;introducíamos;introducíais;introducían;introduje;introdujiste;introdujo;introdujimos;introdujisteis;introdujeron;introduciría;introducirías;introduciríamos;introduciríais;introducirían;introduzca;introduzcas;introduzcamos;introduzcáis;introduzcan;introdujera;introdujeras;introdujéramos;introdujerais;introdujeran;introdujere;introdujeres;introdujéremos;introdujereis;introdujeren;;introducid"
"373","invadir","invado;invades;invade;invadimos;invadís;invaden;invadiendo;invadido;invadiré;invadirás;invadirá;invadiremos;invadiréis;invadirán;invadía;invadías;invadíamos;invadíais;invadían;invadí;invadiste;invadió;invadisteis;invadieron;invadiría;invadirías;invadiríamos;invadiríais;invadirían;invada;invadas;invadamos;invadáis;invadan;invadiera;invadieras;invadiéramos;invadierais;invadieran;invadiere;invadieres;invadiéremos;invadiereis;invadieren;;invadid"
"374","inventar","invento;inventas;inventa;inventamos;inventáis;inventan;inventando;inventado;inventaré;inventarás;inventará;inventaremos;inventaréis;inventarán;inventaba;inventabas;inventábamos;inventabais;inventaban;inventé;inventaste;inventó;inventasteis;inventaron;inventaría;inventarías;inventaríamos;inventaríais;inventarían;invente;inventes;inventemos;inventéis;inventen;inventara;inventaras;inventáramos;inventarais;inventaran;inventare;inventares;inventáremos;inventareis;inventaren;;inventad"
"375","invertir","invierto;inviertes;invierte;invertimos;invertís;invierten;invirtiendo;invertido;invertiré;invertirás;invertirá;invertiremos;invertiréis;invertirán;invertía;invertías;invertíamos;invertíais;invertían;invertí;invertiste;invirtió;invertisteis;invirtieron;invertiría;invertirías;invertiríamos;invertiríais;invertirían;invierta;inviertas;invirtamos;invirtáis;inviertan;invirtiera;invirtieras;invirtéramos;invirtierais;invirtieran;invirtiere;invirtieres;invirtiéremos;invirtiereis;invirtieren;;invertid"
"376","investigar","investigo;investigas;investiga;investigamos;investigáis;investigan;investigando;investigado;investigaré;investigarás;investigará;investigaremos;investigaréis;investigarán;investigaba;investigabas;investigábamos;investigabais;investigaban;investigué;investigaste;investigó;investigasteis;investigaron;investigaría;investigarías;investigaríamos;investigaríais;investigarían;investigue;investigues;investiguemos;investiguéis;investiguen;investigara;investigaras;investigáramos;investigarais;investigaran;investigare;investigares;investigáremos;investigareis;investigaren;;investigad"
"377","invitar","invito;invitas;invita;invitamos;invitáis;invitan;invitando;invitado;invitaré;invitarás;invitará;invitaremos;invitaréis;invitarán;invitaba;invitabas;invitábamos;invitabais;invitaban;invité;invitaste;invitó;invitasteis;invitaron;invitaría;invitarías;invitaríamos;invitaríais;invitarían;invite;invites;invitemos;invitéis;inviten;invitara;invitaras;invitáramos;invitarais;invitaran;invitare;invitares;invitáremos;invitareis;invitaren;;invitad"
"378","invocar","invoco;invocas;invoca;invocamos;invocáis;invocan;invocando;invocado;invocaré;invocarás;invocará;invocaremos;invocaréis;invocarán;invocaba;invocabas;invocábamos;invocabais;invocaban;invoqué;invocaste;invocó;invocasteis;invocaron;invocaría;invocarías;invocaríamos;invocaríais;invocarían;invoque;invoques;invoquemos;invoquéis;invoquen;invocara;invocaras;invocáramos;invocarais;invocaran;invocare;invocares;invocáremos;invocareis;invocaren;;invocad"
"379","ir","voy;vas;va;vamos;vais;van;yendo;ido;iré;irás;irá;iremos;iréis;irán;iba;ibas;íbamos;ibais;iban;fui;fuiste;fue;fuimos;fuisteis;fueron;iría;irías;iríamos;iríais;irían;vaya;vayas;vayamos;vayáis;vayan;fuera;fueras;fuéramos;fuerais;fueran;fuere;fueres;fuéremos;fuereis;fueren;;ve;id"
"380","irse",";vete;idos;váyase;váyanse;yéndose;ido"
"381","jactarse",";jáctate;jactaos;jáctese;jáctense;jactándose;jactado"
"382","jugar","juego;juegas;juega;jugamos;jugáis;juegan;jugando;jugado;jugaré;jugarás;jugará;jugaremos;jugaréis;jugarán;jugaba;jugabas;jugábamos;jugabais;jugaban;jugué;jugaste;jugó;jugasteis;jugaron;jugaría;jugarías;jugaríamos;jugaríais;jugarían;juegue;juegues;juguemos;juguéis;jueguen;jugara;jugaras;jugáramos;jugarais;jugaran;jugare;jugares;jugáremos;jugareis;jugaren;;jugad"
"383","juntar","junto;juntas;junta;juntamos;juntáis;juntan;juntando;juntado;juntaré;juntarás;juntará;juntaremos;juntaréis;juntarán;juntaba;juntabas;juntábamos;juntabais;juntaban;junté;juntaste;juntó;juntasteis;juntaron;juntaría;juntarías;juntaríamos;juntaríais;juntarían;junte;juntes;juntemos;juntéis;junten;juntara;juntaras;juntáramos;juntarais;juntaran;juntare;juntares;juntáremos;juntareis;juntaren;;juntad"
"384","juntarse",";júntate;juntaos;júntese;júntense;juntándose;juntado"
"385","jurar","juro;juras;jura;juramos;juráis;juran;jurando;jurado;juraré;jurarás;jurará;juraremos;juraréis;jurarán;juraba;jurabas;jurábamos;jurabais;juraban;juré;juraste;juró;jurasteis;juraron;juraría;jurarías;juraríamos;juraríais;jurarían;jure;jures;juremos;juréis;juren;jurara;juraras;juráramos;jurarais;juraran;jurare;jurares;juráremos;jurareis;juraren;;jurad"
"386","ladrar","ladro;ladras;ladra;ladramos;ladráis;ladran;ladrando;ladrado;ladraré;ladrarás;ladrará;ladraremos;ladraréis;ladrarán;ladraba;ladrabas;ladrábamos;ladrabais;ladraban;ladré;ladraste;ladró;ladrasteis;ladraron;ladraría;ladrarías;ladraríamos;ladraríais;ladrarían;ladre;ladres;ladremos;ladréis;ladren;ladrara;ladraras;ladráramos;ladrarais;ladraran;ladrare;ladrares;ladráremos;ladrareis;ladraren;;ladrad"
"387","lamentar","lamento;lamentas;lamenta;lamentamos;lamentáis;lamentan;lamentando;lamentado;lamentaré;lamentarás;lamentará;lamentaremos;lamentaréis;lamentarán;lamentaba;lamentabas;lamentábamos;lamentabais;lamentaban;lamenté;lamentaste;lamentó;lamentasteis;lamentaron;lamentaría;lamentarías;lamentaríamos;lamentaríais;lamentarían;lamente;lamentes;lamentemos;lamentéis;lamenten;lamentara;lamentaras;lamentáramos;lamentarais;lamentaran;lamentare;lamentares;lamentáremos;lamentareis;lamentaren;;lamentad"
"388","lanzar","lanzo;lanzas;lanza;lanzamos;lanzáis;lanzan;lanzando;lanzado;lanzaré;lanzarás;lanzará;lanzaremos;lanzaréis;lanzarán;lanzaba;lanzabas;lanzábamos;lanzabais;lanzaban;lancé;lanzaste;lanzó;lanzasteis;lanzaron;lanzaría;lanzarías;lanzaríamos;lanzaríais;lanzarían;lance;lances;lancemos;lancéis;lancen;lanzara;lanzaras;lanzáramos;lanzarais;lanzaran;lanzare;lanzares;lanzáremos;lanzareis;lanzaren;;lanzad"
"389","lastimar","lastimo;lastimas;lastima;lastimamos;lastimáis;lastiman;lastimando;lastimado;lastimaré;lastimarás;lastimará;lastimaremos;lastimaréis;lastimarán;lastimaba;lastimabas;lastimábamos;lastimabais;lastimaban;lastimé;lastimaste;lastimó;lastimasteis;lastimaron;lastimaría;lastimarías;lastimaríamos;lastimaríais;lastimarían;lastime;lastimes;lastimemos;lastiméis;lastimen;lastimara;lastimaras;lastimáramos;lastimarais;lastimaran;lastimare;lastimares;lastimáremos;lastimareis;lastimaren;;lastimad"
"390","lavar","lavaría;lavarías;lavaríamos;lavaríais;lavarían;lavando;lavado;lavo;lavas;lava;lavamos;laváis;lavan;lavaré;lavarás;lavará;lavaremos;lavaréis;lavarán;lavaba;lavabas;lavábamos;lavabais;lavaban;lavé;lavaste;lavó;lavasteis;lavaron;lave;laves;lavemos;lavéis;laven;lavara;lavaras;laváramos;lavarais;lavaran;lavare;lavares;laváremos;lavareis;lavaren;;lavad"
"391","lavarse",";lávate;lavaos;lávese;lávense;lavándose;lavado"
"392","leer","leo;lees;lee;leemos;leéis;leen;leyendo;leído;leeré;leerás;leerá;leeremos;leeréis;leerán;leía;leías;leíamos;leíais;leían;leí;leíste;leyó;leímos;leísteis;leyeron;leería;leerías;leeríamos;leeríais;leerían;lea;leas;leamos;leáis;lean;leyera;leyeras;leyéramos;leyerais;leyeran;leyere;leyeres;leyéremos;leyereis;leyeren;;leed"
"393","legalizar","legalizo;legalizas;legaliza;legalizamos;legalizáis;legalizan;legalizando;legalizado;legalizaré;legalizarás;legalizará;legalizaremos;legalizaréis;legalizarán;legalizaba;legalizabas;legalizábamos;legalizabais;legalizaban;legalicé;legalizaste;legalizó;legalizasteis;legalizaron;legalizaría;legalizarías;legalizaríamos;legalizaríais;legalizarían;legalice;legalices;legalicemos;legalicéis;legalicen;legalizara;legalizaras;legalizáramos;legalizarais;legalizaran;legalizare;legalizares;legalizáremos;legalizareis;legalizaren;;legalizad"
